subject_id,subject_name
330,Painting European Catalogs
331,Flower gardening
332,Garden structures
333,Gardens Styles
334,Architecture Israel Jerusalem
335,Architecture Jerusalem
336,City planning Israel Jerusalem History
337,City planning Jerusalem History
338,Jerusalem Buildings structures etc
339,Architecture Tudor England
340,Coffee shops California Southern
341,Modern movement Architecture California Southern
342,Popular culture California Southern History 20th century
343,Roadside architecture California Southern
344,Architecture Domestic Japan
345,Architecture England London Guidebooks
346,Buildings England London Guidebooks
347,London England Buildings structures etc Guidebooks
348,London England Guidebooks
349,Ethnic architecture Africa
350,Vernacular architecture Africa
351,Aga Khan Award for Architecture Organization
352,Architecture Awards Islamic countries
353,Architecture Islamic countries 20th century
354,Architecture Islamic countries History 20th century
355,Aga Khan Award for Architecture Organization Awards
356,Architecture Islamic Awards
357,Architecture Islamic countries Awards
358,Islamic architecture Awards
359,Architecture Primitive Africa Sub Saharan
360,Vernacular architecture Africa Sub Saharan
361,Architecture and literature
362,Bataille Georges 1897 1962 Criticism and interpretation
363,Bataille Georges 1897 1962 Knowledge Architecture
364,Architecture Encyclopedias
365,Architecture Terminology
366,Architecture Composition proportion etc
367,Architecture Romanesque
368,Art Romanesque
369,Millennialism Europe
370,Richardson H H Henry Hobson 1838 1886
371,Architecture Domestic California
372,Architecture Domestic United States
373,Public housing California
374,Public housing United States
375,Homeless persons Housing
376,Shelters for the homeless United States
377,Architecture in art
378,Buildings Salvaging Illinois Chicago
379,Lost architecture Illinois Chicago
380,Nickel Richard 1972 Criticism and interpretation
381,Nickel Richard d 1972 Criticism and interpretation
382,Architecture Domestic California Napa Valley
383,Interior decoration California Napa Valley
384,Modernism Art History
385,Aesthetics
386,Creation Literary artistic etc
387,Proportion
388,France Description and travel
389,France Pictorial works
390,Art Italian 17th century
391,Art Italian 18th century
392,Art Italian History
393,Farmhouses Japan
394,Vernacular architecture Japan
395,Architectural ironwork United States Themes motives
396,Sullivan Louis H 1856 1924 Catalogs
397,Sullivan Louis H 1856 1924 Philosophy
398,Functionalism Architecture
399,Philosophy of nature
400,Architecture American
401,Architecture and state United States
402,Diplomatic and consular service American Buildings
403,Embassy buildings United States
404,United States Department of State History
405,United States Dept of State History
406,United States Foreign relations
407,Amusement parks Design Catalogs
408,Architecture Modern 20th century Catalogs
409,Centre canadien darchitecture Catalogs
410,Disneyland Calif History
411,Walt Disney Company Buildings Catalogs
412,Architecture Islamic
413,Art Islamic
414,Islamic architecture
415,Islamic art
416,Symbolism in architecture Islamic countries
417,Architecture Environmental aspects Northwest Pacific
418,Regionalism in architecture Northwest Pacific
419,Sustainable architecture Northwest Pacific
420,Indian architecture
421,Indian art
422,Indians Antiquities
423,Latin America Antiquities
424,National socialism and architecture
425,National socialism and art
426,Nationalsozialistische Deutsche Arbeiter Partei Party work
427,Propaganda German
428,Architecture Europe 20th century
429,Architecture Europe History 20th century
430,Bourgeois Louise 1911 2010 Criticism and interpretation
431,Bourgeois Louise 1911 2010 Exhibitions
432,Bourgeois Louise 1911 Criticism and interpretation
433,Bourgeois Louise 1911 Exhibitions
434,Sculpture American 20th century Exhibitions
435,Women sculptors United States
436,Architecture Colonial United States
437,Furness Frank 1839 1912
438,Architecture Japan History
439,Architecture China History
440,Art China History
441,Architecture Saudi Arabia Asir Region Pictorial works
442,Asir Region Saudi Arabia Pictorial works
443,Mauger Thierry Travel Saudi Arabia Asir Region
444,Mural painting and decoration Saudi Arabia Asir Region Pictorial works
445,Ise Daijingu
446,Art Italian
447,Art Renaissance Italy
448,Country homes California
449,Interior decoration California History 20th century
450,Building Adobe
451,Architecture and technology
452,Mechanical engineering
453,Architecture Washington State Guidebooks
454,Architecture Domestic Louisiana
455,Historic buildings Louisiana
456,Louisiana Pictorial works
457,Art Japanese History
458,Architecture Modern Europe
459,Architecture Modern Great Britain
460,Architecture Modern United States
461,Arts and crafts movement
462,Architecture Greek
463,Sculpture Greek
464,Architecture and state
465,Architecture Ancient
466,Kahn Louis I 1901 1974 Criticism and interpretation
467,Architecture Modern 19th century
468,Symbolism in architecture
469,Architecture Modern 19th century History Sources
470,Art and society
471,Art Modern 19th century History Sources
472,Nineteenth century
473,Architecture Italy
474,Architecture Renaissance Italy
475,Mannerism Architecture Italy
476,Architecture Modern 21st century
477,Competition
478,Corporate reorganizations Management
479,Organizational change Management
480,Organizational effectiveness
481,Plants in architecture Malaysia
482,Skyscrapers Malaysia
483,Yeang Ken 1948 Criticism and interpretation
484,Apartment houses France Guise
485,Bauhaus
486,Centre Georges Pompidou
487,College buildings Portugal Oporto
488,Office buildings Germany Vienna
489,Katsura Rikyu Kyoto Japan
490,Buddhist temples Japan
491,Roofs Japan
492,Temples Buddhist Japan
493,Temples Japan
494,Architecture Shoin
495,Castles Japan
496,Antonioni Michelangelo Interviews
497,Motion picture producers and directors Italy Interviews
498,Motion pictures
499,Architecture History Pictorial works
500,Architectural surveys United States
501,Architecture Study and teaching United States
502,Buildings Environmental engineering
503,Arts Modern 20th century
504,Holocaust Jewish 1939 1945 in art
505,Holocaust Jewish 1939 1945 Influence
506,Architecture Switzerland
507,Architecture Domestic Southwest New
508,Interior decoration Southwest New
509,Decoration and ornament Gothic England
510,Decoration and ornament Gothic United States
511,Gothic revival Architecture England
512,Gothic revival Architecture United States
513,Interior decoration England
514,Interior decoration United States
515,Bernini Gian Lorenzo 1598 1680 Criticism and interpretation
516,Architecture Italy Venice
517,Art Italian Italy Venice
518,Architecture Renaissance Italy Venice
519,Buildings Italy Venice
520,Venice Italy Buildings structures etc
521,Garden ornaments and furniture
522,Gazebos
523,Pergolas
524,Graphic design Typography
525,Layout Printing
526,Type and type founding
527,Freemasonry Symbolism
528,Freemasonry United States History
529,Symbolism in architecture Washington D C
530,Washington D C Buildings structures etc
531,Architecture Asia 20th century
532,Architecture Domestic Asia
533,Vernacular architecture Asia
534,Vernacular architecture Mexico
535,Architecture Medieval
536,Buildings Portable
537,Decoration and ornament Architectural Washington D C
538,Library architecture Washington D C
539,Library of Congress
540,Gardens United States Design Case studies
541,Gardens United States Designs and plans
542,Gardens United States Pictorial works
543,Landscape architecture United States Case studies
544,Architecture Japan Edo period 1600 1868
545,Architecture Japan History Edo period 1600 1868
546,Architecture Japan History Kamakura Momoyama periods 1185 1600
547,Architecture Japan Kamakura Momoyama periods 1185 1600
548,Gardens China
549,Gardens Chinese China
550,Architecture Illinois Chicago
551,Chicago Ill Buildings structures etc
552,Buffalo N Y Buildings structures etc
553,Darwin D Martin House Buffalo N Y
554,Prairie school Architecture New York State Buffalo
555,Architecture Illinois Chicago History 20th century
556,Architecture Modern 20th century Illinois Chicago
557,Architectural drawing Private collections New York State New York Exhibitions
558,Gilbert Cass 1859 1934 Exhibitions
559,New York Historical Society Exhibitions
560,Restaurants California
561,Architecture New York State
562,Architecture English History
563,Picturesque The
564,Art Aegean
565,Art Ancient
566,Architecture Medieval Europe
567,Church architecture Europe
568,Country homes England Themes motives
569,Country life England
570,England Social life and customs
571,Interior decoration England Themes motives
572,Manors England Themes motives
573,Architecture Latin America
574,Architecture Latin America 20th century
575,Architecture Latin America History 20th century
576,Dollhouses Design and construction
577,Spiritual life
578,Landscape design History
579,Architecture Canada History
580,Architecture and society North America
581,Architecture North America
582,Decoration and ornament North America
583,Interior architecture North America
584,North America Civilization
585,Architecture France 20th century
586,Architecture France History 20th century
587,Architecture Industrial France Arc et Senans
588,Architecture Romanesque France Conques Aveyron
589,Deconstructivism Architecture Spain Bilbao
590,Glass construction France Paris
591,Library architecture Japan Sendai shi 20th century
592,Maison de verre Paris France
593,Museo Guggenheim Bilbao
594,Sainte Foy de Conques Church
595,Saline royale dArc et Senans
596,Sendai Media Teku
597,Architecture Modern 20th century Themes motives Catalogs
598,Architecture Japan 20th century
599,Architecture Japan History 20th century
600,Architecture Modern 20th century History
601,Expressionism Art
602,Architecture Themes motives
603,Sculpture Themes motives
604,Earth sheltered houses Design and construction
605,Architecture Domestic Africa Northeast
606,Tents Africa Northeast
607,Vernacular architecture Africa Northeast
608,Architecture Baroque
609,Art Baroque
610,Caro Anthony 1924 2013 Exhibitions
611,Caro Anthony 1924 Exhibitions
612,Sculpture Abstract England Exhibitions
613,International style Architecture Brazil
614,Niemeyer Oscar 1907 2012 Criticism and interpretation
615,Niemeyer Oscar 1907 Criticism and interpretation
616,Architecture United States 20th century Guidebooks
617,Architecture United States History 20th century Guidebooks
618,Light in architecture
619,Visual perception
620,Decoration and ornament Art nouveau
621,Art Modern 19th century
622,Art Modern 20th century
623,Architecture Victorian Washington State Port Townsend
624,Architecture Washington State Port Townsend
625,Architecture Washington State Port Townsend 19th century
626,Buildings Washington State Port Townsend
627,Port Townsend Wash Buildings structures etc
628,Le Corbusier 1887 1965
629,Architecture Domestic China
630,Architecture Domestic Taiwan
631,Vernacular architecture China
632,Vernacular architecture Taiwan
633,Architecture Competitions United States
634,Architecture Postmodern United States
635,Asymptote Firm
636,Architectural design Data processing Congresses
637,Hotels United States
638,Resort architecture United States
639,Schultze Leonard 1877 1951
640,Schultze Weaver Themes motives
641,Weaver S Fullerton Spencer Fullerton 1939
642,Weaver S Fullerton Spencer Fullerton d 1939
643,Architecture Europe
644,Architecture Europe 19th century
645,Architecture Europe History 19th century
646,Neoclassicism Architecture Europe
647,Architecture Conservation and restoration
648,Buildings Remodeling for other use
649,Buildings Repair and reconstruction
650,Art American 19th century
651,Art American History
652,Art Colonial United States
653,Architecture Domestic Designs and plans
654,Earth houses Design and construction
655,Straw bale houses Design and construction
656,University of Illinois Urbana Champaign campus Buildings
657,Art Turkish
658,Architectural models
659,Greeting cards Japan
660,Origami
661,Paper work Japan
662,Architecture Germany 20th century
663,Architecture Germany History 20th century
664,Architecture and society New York State New York
665,Architecture New York State New York 21st century
666,Architecture New York State New York History 21st century
667,City planning New York State New York
